,id,name,abbr,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,3,Wolverhampton,WOL,1500,1500.0,1500.73630679352,1500.70239866335,1484.53806188018,1469.31108161417,1470.71755309141,1485.53014536004,1504.59457965,1502.50523426338,1500.72086938331,1501.70092267224,1516.24682618575,1531.29649755417,1530.58000091523,1543.68373595768,1540.76615883695,1523.42636931786,1534.21283575533,1553.05416295733,1543.35225929174,1523.03314710519,1520.65412259052,1535.96912257889,1528.10160730686,1527.04284304233,1528.96090619968,1538.7989286678,1553.96155219399,1548.37379493388
1,6,Burnley,BUR,1500,1516.0,1500.0,1500.03390813017,1486.16552418352,1485.97812665287,1502.05473122723,1500.09784420665,1514.53714915564,1499.23524284948,1485.35674169937,1470.16211879262,1486.47409278703,1500.49792188882,1483.47807983228,1471.52043837818,1456.68096268755,1475.45905229799,1490.91721993134,1473.54333344675,1460.02928934031,1442.24807317416,1429.96533841401,1452.61869940818,1471.87517796504,1472.68820317105,1489.95376862483,1502.44905255356,1500.2763585214,1500.51396407549
2,7,Crystal Palace,CRY,1500,1500.0,1484.0,1501.43587287828,1516.76531018769,1499.93125422033,1498.52478274309,1513.28572392215,1530.02479795878,1514.2005385363,1514.57838898783,1500.53207608324,1487.69363850148,1478.32226862669,1495.34211068323,1509.9641364671,1505.28319081395,1504.23688053447,1487.98862982297,1502.17622760243,1500.43498063856,1495.37951014691,1494.94856716299,1500.15719131214,1483.71052516895,1468.93164506501,1454.82907475084,1471.60793634929,1486.24466787838,1501.19281011023
3,15,Sheffield United,SHU,1500,1500.0,1516.0,1499.22986018536,1499.33158305364,1482.81025277767,1499.41530862751,1487.34177617067,1484.72809063629,1503.29595508556,1502.86007592127,1518.05469882802,1516.37615161672,1515.72755813978,1516.44405477872,1499.06129910912,1510.9909845704,1524.32857347076,1538.46043919566,1533.44943633397,1519.47771929401,1511.37345342811,1524.18614285125,1522.45514809448,1510.27847097217,1525.05735107612,1536.53351047361,1532.09212100726,1542.34517344373,
4,17,Manchester City,MCI,1500,1516.0,1516.0,1531.96609186983,1546.33695988286,1526.79362709352,1539.65513688442,1552.90554387812,1533.84110958816,1549.66536901063,1563.0994088544,1574.01966863533,1560.45286480562,1577.48690083931,1573.19939984493,1585.15704129902,1566.10771058588,1578.95422328595,1596.57259724772,1577.73127004572,1591.70298708568,1603.37525731511,1612.32283796775,1607.11421381861,1619.29089094092,1598.22796149539,1606.74638586484,1620.92286085026,1601.00483287145,
5,24,Watford,WAT,1500,1484.0,1468.73630679352,1453.50630362457,1455.0073170874,1457.74733843896,1444.88582864807,1430.07323637944,1432.68692191381,1435.60117848973,1438.51792901004,1427.87271926906,1443.34186176642,1429.31803266463,1413.19116875599,1405.26003718058,1409.94098283373,1404.16927918256,1425.86495054655,1430.87595340823,1447.18070916812,1467.49982135467,1481.21962707461,1481.8227112146,1463.51305236382,1448.99619190656,1448.44104314705,1435.81090758986,1463.37087589267,1448.42273366083
6,30,Brighton & Hove Albion,BHA,1500,1516.0,1514.53049847102,1496.4669204335,1482.09605242047,1482.28344995112,1481.81602737707,1466.79688377735,1484.99733177407,1468.63358498489,1484.71670941136,1498.21010237321,1481.63465134603,1470.25767469304,1461.87536211541,1479.61280401347,1482.5303811342,1483.57669141368,1469.44482568878,1455.41027990016,1471.15268565923,1473.70350224866,1458.16176614701,1456.86876863343,1437.68936766309,1436.93644876227,1437.49159752178,1441.93298698812,1427.29625545903,1432.88401271914
7,31,Leicester City,LEI,1500,1500.0,1499.26369320648,1516.03383302112,1531.26369665736,1513.70703107478,1529.78829357653,1543.17811679028,1529.70569120725,1545.00759751342,1557.21491420151,1571.2612271061,1584.96483797582,1596.34181462882,1606.03937597017,1613.97050754557,1623.38865846939,1614.21735617559,1596.59898221382,1584.61161402827,1594.09038464097,1605.10025937291,1583.75620899989,1561.10284800571,1571.40175940436,1568.89431139133,1566.97624823399,1552.79977324857,1529.36830743562,1539.94556523682
8,33,Tottenham,TOT,1500,1516.0,1516.0,1497.80347545972,1498.63758308503,1515.47163905238,1499.39037655064,1514.88372004163,1496.68327204491,1493.76901546899,1482.77683932236,1481.47090002632,1483.14944723761,1498.11362875702,1513.30487170183,1496.7652368266,1511.60471251723,1528.94450203632,1512.34076166894,1526.37530745757,1520.02299141781,1501.55304018938,1494.32164000216,1493.71855586217,1505.44378723423,1526.50671667977,1538.24298387222,1520.59890043091,1505.43627690471,1505.19867135062
9,35,Manchester United,MUN,1500,1516.0,1515.26369320648,1497.8278203282,1497.35386869372,1514.9105342763,1498.86247190292,1500.13617643057,1482.26004410395,1487.97172495399,1501.94896121508,1485.70895001859,1502.28440104577,1502.93299452272,1501.58240306711,1518.12203794234,1537.17136865548,1533.51063620319,1511.8149648392,1527.96596563898,1541.48000974542,1522.08515704923,1532.35250223979,1524.333665933,1505.07718737615,1506.13595164068,1522.72847098308,1535.35860654028,1534.07945588628,1553.99748386508
10,37,West Ham United,WHU,1500,1484.0,1485.46950152898,1500.69950469792,1515.89878375454,1513.86686995978,1529.91493233316,1529.34594184996,1512.60686781334,1493.82861676573,1494.26449593002,1476.93740671782,1460.62543272341,1445.661251204,1466.98765420128,1453.88391915884,1439.1765954762,1455.3951964165,1448.46317955044,1434.27558177098,1424.79681115828,1441.22393091497,1428.41124149183,1431.62676873845,1421.3278573398,1422.08077624062,1413.56235187116,1409.50787852715,1429.4145378258,1417.56264749746
11,38,Chelsea,CHE,1500,1484.0,1484.73630679352,1501.43877396605,1501.33705109777,1516.56403136377,1503.14179525886,1518.16093885858,1532.08791973021,1545.57586288502,1559.45436403513,1570.09957377611,1582.93801135787,1565.90397532418,1544.5775723269,1557.4105155082,1535.98840115944,1515.82821901579,1532.43195938316,1512.45555544453,1527.0195318088,1524.46871521938,1536.75144997952,1517.8644228466,1516.50078418394,1519.00823219698,1502.41571285457,1520.05979629589,1514.74502618411,1530.47136400872
12,39,Newcastle United,NEW,1500,1484.0,1468.0,1486.19652454028,1484.69551107745,1472.13060873917,1472.59803131322,1459.20820809947,1477.08434042609,1463.59639727127,1465.38076215134,1482.70785136353,1500.09827214852,1482.05530600081,1486.34280699519,1503.72556266478,1517.62384179751,1498.84575218708,1515.09400289858,1498.9430020988,1481.9973235406,1470.98744880866,1473.36647332333,1492.25350045626,1492.42526703552,1487.70806412489,1471.75521749582,1454.97635589737,1457.14904992954,1474.02467656927
13,40,Aston Villa,AVL,1500,1484.0,1468.73630679352,1486.8662547366,1471.53681742719,1473.56873122195,1459.34766708054,1461.30455410112,1477.09730939599,1493.46105618517,1480.02701634141,1470.03825468888,1455.49235117537,1473.53531732309,1474.8859087787,1462.0529655974,1452.63481467358,1439.29722577322,1422.76358891171,1437.4944411175,1421.18968535761,1438.97090152377,1430.02332087113,1431.31631838471,1449.62597723549,1431.63093185701,1419.89466466455,1406.76751866907,1396.19026086787,
14,42,Arsenal,ARS,1500,1516.0,1532.0,1515.93232735724,1515.09821973193,1512.35819838037,1526.57926252178,1525.30555799413,1540.97484709203,1522.40698264276,1522.02913219124,1521.04907890231,1507.34546803259,1503.5245708357,1499.75278580818,1482.01534391012,1496.72266759277,1483.8761548927,1482.77412712541,1481.18856199988,1466.6245856356,1486.01943833179,1486.45038131571,1488.18137607248,1489.54501473513,1488.73198952912,1504.6848361582,1521.59321066574,1533.44510099408,
15,44,Liverpool,LIV,1500,1516.0,1530.53049847102,1546.59817111378,1560.46655506044,1573.03145739872,1586.45369350363,1598.52722596047,1611.99965154349,1606.28797069345,1617.28014684009,1627.26890849261,1640.83571232233,1650.20708219711,1658.58939477474,1665.73259140339,1672.92740601287,1678.69910966403,1685.63112653008,1697.61849471563,1707.32039838123,1715.42466424712,1722.65606443435,1730.67490074114,1738.54241601317,1745.21738445258,1748.91349153057,1752.96796487458,1725.40799657177,1729.78598791879
16,45,Southampton,SOU,1500,1484.0,1469.46950152898,1487.5330795665,1488.00703120098,1504.52836147695,1488.38479069087,1472.89144719988,1458.96446632825,1461.05381171487,1448.84649502678,1437.92623524584,1422.74226296092,1426.56316015781,1442.69002406645,1457.82202910591,1443.92374997319,1427.70514903288,1444.23878589439,1464.21518983302,1465.95643679689,1484.42638802531,1505.77043839834,1490.45543840996,1506.90210455314,1500.22713611374,1482.96157065996,1496.08871665544,1476.1820573568,1459.30643071707
17,48,Everton,EVE,1500,1500.0,1515.26369320648,1497.1337452634,1513.29808204658,1495.9551419562,1479.35008610637,1466.09967911267,1451.66037416368,1470.43862521129,1454.35550078481,1455.66144008086,1470.84541236578,1451.66588736465,1441.9683260233,1434.82512939466,1456.24724374341,1459.90797619571,1461.010003963,1478.38389044759,1495.32956900579,1483.65729877635,1499.199034878,1495.98350763137,1495.81174105211,1510.32860150937,1524.43117182354,1507.522797316,1508.80194796999,1493.07561014538
18,60,Bournemouth,BOU,1500,1500.0,1515.26369320648,1499.29760133665,1484.0677377004,1501.41067779078,1517.55424857686,1518.12323906006,1502.45394996217,1499.65354385136,1496.73679333104,1512.97680452753,1495.58638374255,1480.53671237412,1465.34546942931,1450.72344364544,1443.52862903596,1463.68881117962,1448.23064354626,1449.8162086718,1434.07380291272,1417.64668315603,1403.92687743609,1386.89808019031,1406.07748116064,1424.07252653912,1412.59636714163,1400.10108321289,1405.41585332468,1401.03786197766
19,263,Norwich City,NOR,1500,1484.0,1500.0,1483.29753282748,1468.09825377086,1487.64158656019,1471.56498198583,1456.80404080677,1441.0112855119,1443.81169162271,1429.83445536162,1416.34106239977,1400.87191990241,1420.05144490354,1423.82322993105,1408.6912248916,1396.76153943032,1405.93284172412,1395.14637528665,1380.41552308087,1386.76783912063,1391.82330961228,1381.55596442172,1398.58476166751,1386.85953029545,1391.57673320608,1387.88062612808,1378.04260365996,1401.47406947291,1391.22101703644
